gene	n_ss_samples_with_upoutlier	pct_ss_samples_with_upoutlier	list_of_samples
AL442127.1	8	22.22222222222222	THR39_1362_S01, THR39_1364_S01, THR39_1370_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR39_1368_S01, THR39_1374_S01
AL603831.1	4	11.11111111111111	THR39_1371_S01, TH27_0976_S01, THR39_1369_S01, THR39_1372_S01
ALDH1A2	8	22.22222222222222	TCGA-DX-AB3C-01, TCGA-WK-A8XT-01, TH03_0112_S01, THR39_1360_S01, THR39_1362_S01, THR31_1386_S01, THR31_1392_S01, TH27_0976_S01
AP003068.9	5	13.88888888888889	TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, THR39_1378_S01, TCGA-DX-A7EQ-01
APBB3	4	11.11111111111111	THR39_1371_S01, THR39_1373_S01, THR39_1368_S01, THR39_1369_S01
ARC	6	16.666666666666664	TCGA-Z4-AAPF-01, TH03_0112_S02, THR39_1367_S01, THR39_1371_S01, THR39_1376_S01, THR39_1369_S01
ARHGEF9	6	16.666666666666664	TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, THR31_1386_S01, THR39_1368_S01, THR39_1372_S01
ATF7	7	19.444444444444446	THR39_1360_S01, THR39_1361_S01, THR39_1371_S01, THR31_1386_S01, THR31_1392_S01, TH27_0976_S01, THR39_1369_S01
ATN1	5	13.88888888888889	TCGA-X6-A8C7-01, TH03_0112_S01, THR39_1371_S01, THR31_1386_S01, TH27_0976_S01
BARX1	20	55.55555555555556	TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-DX-AB3C-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1373_S01, THR39_1376_S01, TH27_0976_S01, THR39_1369_S01, THR39_1372_S01, THR39_1374_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
BCOR	18	50	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01
BMP4	5	13.88888888888889	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, THR39_1366_S01, THR39_1367_S01
BMP5	14	38.88888888888889	TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1363_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, THR39_1374_S01, THR39_1378_S01
BMPER	10	27.77777777777778	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-WK-A8XT-01, THR39_1360_S01, THR39_1361_S01, THR39_1365_S01, THR39_1367_S01, THR39_1375_S01, THR39_1368_S01, THR39_1369_S01
C12orf57	4	11.11111111111111	TCGA-DX-A7ER-01, TH03_0112_S01, THR31_1386_S01, TCGA-DX-A7EQ-01
CA11	8	22.22222222222222	TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TH03_0112_S01, THR39_1367_S01, TH03_0156_S01, THR39_1372_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
CACNA1G	11	30.555555555555557	TCGA-WK-A8XT-01, TH03_0112_S02, THR39_1360_S01, THR39_1364_S01, THR39_1371_S01, THR31_1386_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1378_S01
CACNA1H	11	30.555555555555557	TCGA-X6-A8C7-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1371_S01, THR39_1373_S01, THR31_1386_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
CAPN6	6	16.666666666666664	TCGA-DX-AB3B-01, TCGA-DX-AB3C-01, TH03_0112_S01, TH03_0112_S02, THR39_1369_S01, THR39_1372_S01
CBLN1	6	16.666666666666664	TCGA-DX-A7ER-01, TH03_0112_S01, THR39_1367_S01, THR39_1371_S01, THR39_1372_S01, THR39_1378_S01
CBX4	9	25	TCGA-X6-A8C7-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1362_S01, THR39_1365_S01, THR39_1371_S01, THR31_1386_S01, THR39_1369_S01
CCDC102A	8	22.22222222222222	TCGA-DX-AB3B-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR31_1386_S01, TH27_0976_S01
CCNL2	4	11.11111111111111	THR39_1373_S01, THR39_1376_S01, TH03_0156_S01, THR39_1368_S01
CDH23	5	13.88888888888889	THR39_1373_S01, THR39_1376_S01, THR31_1393_S01, THR39_1372_S01, THR39_1378_S01
CDON	12	33.33333333333333	TCGA-X6-A8C7-01, TCGA-WK-A8XT-01, TH03_0112_S02, THR39_1365_S01, THR39_1367_S01, THR39_1375_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01
CEP112	4	11.11111111111111	THR39_1363_S01, THR39_1364_S01, THR39_1371_S01, THR39_1374_S01
CHAD	11	30.555555555555557	TCGA-DX-AB3B-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-Z4-AAPF-01, THR39_1361_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR39_1372_S01
CHD9	8	22.22222222222222	TCGA-X6-A8C7-01, THR39_1363_S01, THR39_1364_S01, THR39_1370_S01, THR39_1375_S01, THR39_1376_S01, TH03_0156_S01, TH27_0976_S01
CHODL	6	16.666666666666664	THR39_1361_S01, THR39_1362_S01, THR39_1363_S01, THR39_1373_S01, TH27_0976_S01, THR39_1374_S01
CHST1	4	11.11111111111111	TH03_0112_S01, THR31_1386_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
CHST2	4	11.11111111111111	TCGA-DX-AB3B-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01
CHST8	15	41.66666666666667	TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1366_S01, THR39_1370_S01, THR31_1386_S01, THR31_1393_S01, THR39_1368_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
CILP2	11	30.555555555555557	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-A7ER-01, TH03_0112_S01, THR39_1361_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR31_1392_S01, THR31_1393_S01, THR39_1372_S01
CLUL1	7	19.444444444444446	TH03_0112_S01, TH03_0112_S02, THR39_1364_S01, THR39_1366_S01, THR31_1386_S01, THR39_1368_S01, THR39_1372_S01
CNPY4	6	16.666666666666664	TCGA-DX-AB3B-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1367_S01, THR39_1368_S01
CNTFR	9	25	TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1371_S01, THR31_1386_S01, THR31_1392_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
CNTNAP1	8	22.22222222222222	TCGA-X6-A8C7-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TH03_0112_S01, THR39_1360_S01, THR39_1370_S01, TH27_0976_S01, THR39_1369_S01
COL11A2	11	30.555555555555557	TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR31_1386_S01, THR39_1368_S01, THR39_1369_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
COL13A1	4	11.11111111111111	TCGA-WK-A8XT-01, TH03_0112_S01, THR39_1373_S01, THR39_1372_S01
COL21A1	6	16.666666666666664	THR39_1363_S01, THR39_1367_S01, THR31_1392_S01, THR39_1368_S01, THR39_1369_S01, THR39_1374_S01
COL23A1	16	44.44444444444444	TCGA-MJ-A850-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, THR39_1372_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
COL2A1	25	69.44444444444444	TCGA-DX-AB3B-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1362_S01, THR39_1363_S01, THR39_1364_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1376_S01, THR31_1386_S01, THR31_1393_S01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1374_S01, TCGA-DX-A7EQ-01
COL9A1	5	13.88888888888889	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TH03_0156_S01, TH27_0976_S01, THR39_1369_S01
COL9A3	26	72.22222222222221	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1364_S01, THR39_1365_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1374_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
COLEC12	19	52.77777777777778	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1365_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, TH27_0976_S01, THR39_1369_S01
CPAMD8	7	19.444444444444446	TH03_0112_S02, THR39_1360_S01, THR39_1363_S01, THR39_1375_S01, THR39_1376_S01, TH27_0976_S01, THR39_1374_S01
CPT1C	9	25	TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TH03_0112_S01, THR31_1386_S01, THR39_1368_S01, THR39_1372_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
CRABP1	26	72.22222222222221	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1363_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1375_S01, THR39_1376_S01, THR31_1386_S01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1374_S01, THR39_1378_S01
CRLF1	35	97.22222222222221	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1364_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1374_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
CRTAC1	22	61.111111111111114	TCGA-MJ-A850-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1364_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
CSNK1G2	4	11.11111111111111	TH03_0112_S01, TH03_0112_S02, THR31_1386_S01, TH27_0976_S01
CTAG1A	21	58.333333333333336	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-DX-AB3C-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1362_S01, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1370_S01, THR39_1371_S01, THR39_1375_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, THR39_1372_S01, THR39_1374_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
CTAG1B	12	33.33333333333333	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-AB3C-01, TCGA-Z4-AAPF-01, TH03_0112_S01, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1371_S01, TH03_0156_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
CTAG2	5	13.88888888888889	TCGA-DX-AB3B-01, TH03_0112_S01, THR39_1371_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
CTC-575D19.1	5	13.88888888888889	TCGA-DX-A7EO-01, TCGA-FX-A8OO-01, THR39_1366_S01, THR39_1367_S01, THR39_1376_S01
CTD-2147F2.1	7	19.444444444444446	TCGA-DX-A7ER-01, THR39_1373_S01, THR39_1376_S01, THR31_1393_S01, THR39_1374_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
CUL4B	7	19.444444444444446	TCGA-X6-A8C7-01, THR39_1364_S01, THR39_1367_S01, THR39_1375_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
CYTH3	6	16.666666666666664	THR39_1360_S01, THR39_1361_S01, THR39_1366_S01, THR39_1367_S01, THR39_1375_S01, TH27_0976_S01
CYTL1	9	25	THR39_1363_S01, THR39_1364_S01, THR39_1370_S01, THR39_1371_S01, THR39_1376_S01, THR31_1386_S01, THR31_1393_S01, TH27_0976_S01, THR39_1372_S01
DACT1	21	58.333333333333336	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1364_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01
DAZ1	7	19.444444444444446	TCGA-DX-AB3C-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1362_S01, THR31_1392_S01, TH27_0976_S01
DLG4	9	25	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1371_S01, THR31_1386_S01, THR39_1368_S01, THR39_1372_S01
DLK1	21	58.333333333333336	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7ER-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, THR39_1361_S01, THR39_1362_S01, THR39_1365_S01, THR39_1367_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
DLX1	16	44.44444444444444	TCGA-X6-A8C7-01, TCGA-FX-A8OO-01, TCGA-Z4-AAPF-01, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1363_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1375_S01, THR39_1376_S01, THR31_1386_S01, THR39_1368_S01, THR39_1369_S01
DLX5	14	38.88888888888889	TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-DX-AB3C-01, THR39_1361_S01, THR39_1362_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, TH27_0976_S01, THR39_1378_S01
DLX6-AS1	5	13.88888888888889	TCGA-DX-AB3C-01, THR39_1366_S01, THR39_1367_S01, THR39_1377_S01, TH27_0976_S01
DNAJC14	4	11.11111111111111	THR39_1362_S01, THR31_1386_S01, TH27_0976_S01, THR39_1372_S01
DNM3OS	31	86.11111111111111	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1374_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
DOC2B	4	11.11111111111111	THR39_1371_S01, THR39_1373_S01, TH03_0156_S01, THR39_1372_S01
DPEP1	4	11.11111111111111	THR39_1365_S01, THR31_1386_S01, THR39_1369_S01, TCGA-DX-A7EQ-01
EBF1	5	13.88888888888889	TCGA-DX-AB3B-01, TH03_0112_S01, TH03_0112_S02, THR39_1367_S01, THR31_1386_S01
EBF2	7	19.444444444444446	TCGA-FX-A8OO-01, THR39_1370_S01, THR39_1376_S01, THR31_1386_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01
EBF3	25	69.44444444444444	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-DX-A7ER-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01, THR39_1378_S01
ECEL1	12	33.33333333333333	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TH03_0112_S01, TH03_0112_S02, THR39_1362_S01, THR39_1366_S01, THR39_1371_S01, THR39_1373_S01, TH03_0156_S01, THR39_1372_S01, THR39_1374_S01, TCGA-DX-A7EQ-01
EDN3	6	16.666666666666664	THR39_1364_S01, THR39_1367_S01, THR31_1392_S01, TH27_0976_S01, THR39_1368_S01, THR39_1372_S01
EDNRA	7	19.444444444444446	THR39_1364_S01, THR39_1367_S01, THR39_1373_S01, THR39_1375_S01, THR31_1392_S01, TH27_0976_S01, THR39_1369_S01
EFNA2	5	13.88888888888889	TH03_0112_S01, TH03_0112_S02, THR39_1362_S01, THR31_1386_S01, THR39_1368_S01
EFNB3	20	55.55555555555556	TCGA-DX-AB3B-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1364_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1373_S01, THR39_1377_S01, THR31_1386_S01, THR31_1393_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
EIF3E	5	13.88888888888889	THR39_1363_S01, THR39_1370_S01, THR39_1376_S01, THR39_1369_S01, THR39_1374_S01
EIF3F	4	11.11111111111111	TCGA-DX-A7ER-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, THR39_1368_S01
ELFN1	4	11.11111111111111	TH03_0112_S01, TH03_0112_S02, THR31_1386_S01, THR39_1368_S01
EMILIN3	7	19.444444444444446	TCGA-MJ-A850-01, TCGA-FX-A8OO-01, TH03_0112_S02, THR39_1363_S01, THR39_1364_S01, THR39_1376_S01, THR39_1374_S01
ENPP6	4	11.11111111111111	TCGA-FX-A8OO-01, THR39_1370_S01, THR39_1373_S01, THR31_1393_S01
EPHA4	6	16.666666666666664	TCGA-DX-A7ER-01, THR39_1360_S01, THR39_1366_S01, THR39_1367_S01, THR31_1386_S01, THR31_1392_S01
ERF	4	11.11111111111111	TH03_0112_S01, THR39_1366_S01, THR39_1371_S01, THR31_1386_S01
EXTL2	9	25	THR39_1360_S01, THR39_1361_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR39_1377_S01, THR39_1369_S01
EYA1	6	16.666666666666664	TCGA-DX-A7ER-01, TH03_0112_S01, THR39_1360_S01, THR31_1386_S01, THR31_1392_S01, THR39_1368_S01
FAM101A	12	33.33333333333333	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TH03_0112_S02, THR39_1360_S01, THR39_1366_S01, THR39_1371_S01, THR39_1376_S01, THR31_1386_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
FAM132A	5	13.88888888888889	TCGA-DX-AB3C-01, THR39_1362_S01, THR39_1368_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
FAM156A	4	11.11111111111111	THR39_1360_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
FAM172A	6	16.666666666666664	THR39_1363_S01, THR39_1370_S01, THR39_1376_S01, THR31_1392_S01, THR31_1393_S01, THR39_1374_S01
FAM43A	7	19.444444444444446	TCGA-DX-A7ER-01, TH03_0112_S02, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR31_1386_S01, THR39_1368_S01
FBN2	14	38.88888888888889	TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-DX-AB3C-01, TH03_0112_S01, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1366_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01
FIBCD1	6	16.666666666666664	TCGA-Z4-AAPF-01, THR39_1362_S01, THR39_1366_S01, THR31_1386_S01, TH03_0156_S01, TCGA-DX-A7EQ-01
FKBP7	10	27.77777777777778	TCGA-DX-AB3B-01, TCGA-WK-A8XT-01, THR39_1360_S01, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1370_S01, THR31_1386_S01, TH27_0976_S01, THR39_1374_S01
FLRT2	10	27.77777777777778	TCGA-X6-A8C7-01, THR39_1360_S01, THR39_1361_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR31_1392_S01, TH27_0976_S01, THR39_1369_S01
FOXC1	16	44.44444444444444	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TH03_0112_S02, THR39_1361_S01, THR39_1362_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01
FOXD1	13	36.11111111111111	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, THR39_1360_S01, THR39_1361_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, THR39_1369_S01
FOXD1-AS1	17	47.22222222222222	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, THR39_1360_S01, THR39_1361_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1375_S01, THR39_1377_S01, THR39_1368_S01, THR39_1369_S01, THR39_1378_S01
FOXF1	4	11.11111111111111	TCGA-DX-AB3B-01, THR39_1360_S01, THR39_1371_S01, THR39_1369_S01
FOXF2	5	13.88888888888889	TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, THR31_1386_S01, THR31_1392_S01, THR39_1369_S01
FRZB	6	16.666666666666664	TCGA-X6-A8C7-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1362_S01, THR39_1375_S01
FTCD	5	13.88888888888889	TCGA-Z4-AAPF-01, THR39_1362_S01, THR39_1368_S01, THR39_1372_S01, THR39_1378_S01
